example,1,e1@example.com,7333333330,,,3,3,03/06/2023
example,2,e2@example.com,7333333331,,,4,4,03/06/2023
example,3,e3@example.com,07333333333,,,3,3,05/05/2023
example,4,e4@example.com,7333333334,,,1,1,05/05/2023
larry,baker,larrybaker@gmail.com,07000000000,07123456789,,1,2,11/05/23
bob,smith,bs@gmail.com,07456832211,,,121 over here lane,1,05/05/2023
frank,lord,f.l@gmail.com,7000000002,,,1,1,05/05/2023
james,stone,jstone@gmail.com,7000000003,,,1,1,05/05/2023
liam,goldsmiths,liam1gold@gmail.com,07000000001,,,1,1,05/05/2023
terry,smith,tsmith@gmail.com,7000000033,,,1,1,05/05/2023
daniel,johnson,ds@gmail.com,7333000012,,,1,1,05/05/2023
leonard,baker,jbaker@gmail.com,7111111111,7111111110,7123456789,10 somewhere street,1,04/05/2023
jack,johnson,mikejohn@gmail.com,07111111112,07111111111,07123456789,11 somewhere street,1,04/05/23
michael,johnson,abcdefghijklmnopqrstuvwxy@gmail.com,07111111114,07111111111,07123456789,11 somewhere street,1,04/05/23
gandalf,thegreat,g.t.g@gmail.com,07348120628,07437914403,07123456789,down by the shire,1,04/05/23
